"","Country","Region","Market","Rate","Date","Open","High","Low","Close","Currency"
"","Nigeria","Borno","Ngala","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Pulka","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Rann","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Shani Main Market","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Tashan Bama","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Geopolitical Zone","North Central","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Geopolitical Zone","North West","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Geopolitical Zone","South East","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Geopolitical Zone","South South","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Geopolitical Zone","South West","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Gombe","Gombe","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Jigawa","Gujungu","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Kaduna","Giwa","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Kaduna","Saminaka","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Kano","Dawanau","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Kano State (1)","Kano","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Katsina","Dandume","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Katsina","Mai Adoua (CBM)","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Kebbi","Gwandu","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Lagos","Lagos","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Market Average","Market Average","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","National Average","Abuja","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Oyo","Ibadan","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Sokoto","Illela (CBM)","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Yobe","Bade (Gashua)","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Yobe","Bayantasha","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Yobe","Biriri","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Yobe","Bursari","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
